site_name,agneventid,eventlen,mindate,isevent,n_little,n_big,yield_little_cumul,yield_big_cumul,yield_little_cumul_log,yield_big_cumul_log,yield_little_mean,yield_big_mean,yield_little_mean_log,yield_big_mean_log,yield_little_q10_log,yield_little_q50_log,yield_little_q90_log,yield_big_q10_log,yield_big_q50_log,yield_big_q90_log,site_name_cd
Grizzly Creek,2019_1,13,2018-07-03,2,13,13,4.909806975573921,18.874370462476385,1.5912346285232692,2.9378049415974816,0.3776774596595324,1.451874650959722,-0.999327929129993,0.35359043967705617,-1.3403764596846712,-0.9463754656109844,-0.7413698828352622,0.07722310584332832,0.3522343137848647,0.6075972497760513,9
Grizzly Creek,2019_2,27,2018-07-16,1,27,27,4.230280600324534,25.362049750583502,1.4422683266321878,3.2332539524298793,0.15667705927127903,0.9393351759475371,-1.8830619402423705,-0.0943357739494882,-2.1464065751026755,-1.9501310600857331,-1.5384944000119716,-0.40896957824885805,-0.0943557721446306,0.21148805453622868,9
Grizzly Creek,2019_3,14,2018-08-12,2,14,14,1.3410818295576064,7.567191025685332,0.29347662373357214,2.023821931966936,0.09579155925411473,0.5405136446918094,-2.3532332698811347,-0.6165257504863493,-2.4979937476280543,-2.3785243192658387,-2.190195723862817,-0.6767178228680448,-0.6128891597084373,-0.5563546878597567,9
Grizzly Creek,2019_4,6,2018-08-26,1,6,6,0.5019179725294105,3.2941103632854394,-0.6893185739776962,1.192136135530997,0.08365299542156843,0.5490183938809066,-2.4817380952925028,-0.6093160969160947,-2.5253301359367666,-2.472804428993268,-2.4470797209474737,-0.7366149317030506,-0.628933376727881,-0.4623999823173527,9
Grizzly Creek,2019_5,33,2018-09-01,2,33,33,2.35365915841625,13.676145283863203,0.8559712058381752,2.615653094992287,0.07132300480049243,0.4144286449655516,-2.6492449951480674,-0.8825054253632268,-2.8703909859947685,-2.6208424589165173,-2.532071449902007,-0.94507079788082,-0.9045027782751653,-0.801920207219892,9
Grizzly Creek,2019_6,3,2018-10-04,1,3,3,0.17236852135906205,1.256626183680834,-1.7581205281489583,0.2284304976953233,0.057456173786354016,0.41887539456027795,-2.862475976300605,-0.8719355963489445,-2.9722262023169583,-2.8007653668504227,-2.7774099940643246,-0.9296246639416545,-0.8735284710193357,-0.8136093788880779,9
Grizzly Creek,2019_7,8,2018-10-07,2,8,8,0.38964771986902386,3.15472814387657,-0.9425122304509337,1.1489023255219932,0.04870596498362798,0.3943410179845713,-3.032559910091496,-0.9307299025036787,-3.1667670226487243,-3.058797650345452,-2.8782731614392594,-0.9480117871607712,-0.9352292174214812,-0.9040002745052519,9
Grizzly Creek,2022_1,45,2021-06-15,2,45,45,5.933704585313223,26.825071131550473,1.7806487372308824,3.2893369402019874,0.1318601018958494,0.5961126918122327,-2.288242887578636,-0.5989412897990537,-3.1216428407884442,-2.3525508906885473,-1.221307376200591,-1.0228884476794604,-0.6768312668206591,-0.0184537225499817,9
Grizzly Creek,2022_10,5,2021-10-08,1,5,5,0.09154696266577803,1.8886137246044994,-2.3909031851921205,0.6358430808989501,0.018309392533155604,0.37772274492089986,-4.002423420288538,-0.9764197280007231,-4.0695723538783275,-4.027184792689203,-3.926672586446583,-1.0445962899420582,-1.0265290704417116,-0.884429706363052,9
Grizzly Creek,2022_11,2,2021-10-13,2,2,2,0.03167394885758728,0.6784714470072739,-3.452260738563547,-0.3879128831169906,0.01583697442879364,0.33923572350363695,-4.145418814770441,-1.0811236921259129,-4.149153313230215,-4.145418814770441,-4.141684316310667,-1.0901484437623363,-1.0811236921259129,-1.0720989404894894,9
