site_name,basin,subbasin,agneventid,eventlen,mindate,isevent,yield_little_cum,yield_big_cum,yield_little_cum_log,yield_big_cum_log,xxx_little,yyy_little,yield_little_mean_log,yield_big_mean_log,yield_little_q25_log,yield_little_q50_log,yield_little_q75_log,yield_big_q25_log,yield_big_q50_log,yield_big_q75_log,site_name_cd,z_yield_big_cum_log,z_yield_big_mean_log
Avery Brook,West Brook,West Brook,5,6,2020-02-20,2,8.574238833413231,7.041326265621748,2.1487622233293746,1.951796542429872,8.51423883341323,8.514238833413229,0.3502450057837213,0.15415180093091732,0.2744718002088218,0.35072654138234843,0.3656419419650797,0.06748471240773814,0.19518674459152047,0.24733304335369452,8,0.28427317765922755,0.43388097758057426
Avery Brook,West Brook,West Brook,6,5,2020-02-26,1,23.212353934303945,17.13849576418815,3.144684634114231,2.841327147602372,23.162353934303948,23.162353934303948,1.3729933524975064,1.123840529757007,0.9851585644199936,1.1053704251045016,1.4874363617623982,0.8140183003820496,0.979541787855532,1.410411479065415,8,0.8681138439057191,1.2396343859746404
Avery Brook,West Brook,West Brook,7,5,2020-03-02,1,18.740718737645928,11.931520829733923,2.9306986292042656,2.4791837074262455,18.69071873764593,18.69071873764593,1.2951794883102836,0.858606172576948,1.1745382499466155,1.3001220342663131,1.3693813187791393,0.7803961727017495,0.810337848517174,0.9152535574661917,8,0.6304221150773173,1.0192404791796585
Avery Brook,West Brook,West Brook,8,5,2020-03-07,2,15.543740509266634,9.41094697611277,2.7436580179874297,2.2418735836149777,15.493740509266635,15.493740509266635,1.130095362599793,0.6315768693243224,1.0809299305796458,1.1087350601795791,1.204806963980528,0.6020227043469842,0.6244747638505272,0.6550841236987478,8,0.474664348017532,0.8305926899838526
Avery Brook,West Brook,West Brook,9,4,2020-03-12,1,14.078910436310938,10.155460859926997,2.6446779639508824,2.3180115765655644,14.038910436310937,14.038910436310937,1.2341176153782876,0.9092347082120429,1.0587377604355677,1.1775888300139035,1.3529686849566231,0.7834950680061734,0.9551749127326825,1.0809145529385522,8,0.5246372846117945,1.0613097679496368
Avery Brook,West Brook,West Brook,10,2,2020-03-16,2,5.077875259966778,4.115932512134375,1.6248929181849376,1.4148654213685687,5.057875259966778,5.057875259966777,0.9314704571776764,0.7215152981550923,0.9197379018716539,0.9314704571776764,0.943203012483699,0.7114416597241134,0.7215152981550923,0.731588936586071,8,-0.06813990585476323,0.9053261517863119
Avery Brook,West Brook,West Brook,11,4,2020-03-18,1,13.959188778247528,10.196917666729977,2.636137985205028,2.32208548508549,13.919188778247529,13.91918877824753,1.2176466518609206,0.9109997242477638,1.0357878284576922,1.1993900101197972,1.3812488335230255,0.7988122185057853,0.9751610612515577,1.087348566993536,8,0.5273111818905051,1.0627763908404424
Avery Brook,West Brook,West Brook,12,4,2020-03-22,2,10.013550651548893,8.953213462640592,2.303939240876697,2.19201251395023,9.973550651548896,9.973550651548896,0.912359081149231,0.8007768140879858,0.8297663795768644,0.8979873384152762,0.9805800399876428,0.7104999176693267,0.7961397906372065,0.8864166870558656,8,0.44193818889096237,0.9711877367659839
Avery Brook,West Brook,West Brook,13,11,2020-03-26,1,52.215533790977894,41.434145021209964,3.955380032822433,3.7241052998709088,52.105533790977894,52.10553379097789,1.493640448015683,1.2811915621201675,1.3297949666415976,1.4034660545353157,1.5406052820565614,1.1037813235407135,1.1664159375914733,1.3784116380354288,8,1.4475225585371416,1.3703836943577845
Avery Brook,West Brook,West Brook,14,6,2020-04-06,2,19.944704292685174,15.332687626217647,2.992963659109842,2.7299869956006466,19.88470429268517,19.88470429268517,1.186063088399221,0.9298000593319731,1.0765936836170122,1.1060867405222305,1.2865167563540056,0.824495392263116,0.8949891071776397,1.040208250766756,8,0.7950360789062035,1.0783983462398734
Avery Brook,West Brook,West Brook,15,5,2020-04-12,1,25.643238988743402,20.911065183259286,3.244279949688078,3.0402784534754193,25.593238988743405,25.59323898874341,1.5485464402433253,1.349177760723885,1.3170194286408872,1.444516565828442,1.830363258002412,1.1051787402239386,1.2832785474150807,1.7800296112185838,8,0.9986949192460154,1.4268761641785057
Avery Brook,West Brook,West Brook,16,3,2020-04-17,1,11.569729509789916,9.366072892030985,2.448392162348889,2.2370938933523536,11.539729509789915,11.539729509789916,1.3459477560163122,1.133506153183704,1.2957145755768507,1.3590545867926291,1.4027343518439324,1.0809395282624488,1.1638299928053761,1.2012346979157955,8,0.4715272130711283,1.2476659416571974
Avery Brook,West Brook,West Brook,17,9,2020-04-20,2,33.82107339731085,24.566098736479095,3.521084081503467,3.2013673923418753,33.73107339731085,33.73107339731085,1.3144488464928406,0.9951992920864157,1.1931906595165507,1.3245957609904218,1.4282569842376616,0.8917393495587042,1.0457899611062387,1.1242162593156155,8,1.1044251469029869,1.1327412019746643
Avery Brook,West Brook,West Brook,18,34,2020-04-29,1,106.96641555406386,83.28097509844896,4.672514911866858,4.422220132913107,106.62641555406387,106.62641555406387,0.8182372492874824,0.4596707504375281,0.20648428785203418,0.8045027084683548,1.2188425619209204,-0.32657419597765724,0.5387304180278604,1.1072351920414583,8,1.90572807374915,0.68774897416123415
Avery Brook,West Brook,West Brook,19,7,2020-06-02,2,4.452590910640454,1.9322397615898392,1.49348615385992,0.6586798282923134,4.382590910640453,4.382590910640453,-0.45794873198058045,-1.2925473291387088,-0.5084154332810543,-0.41006786980589427,-0.38594016241017454,-1.3729896496715583,-1.3049802791221519,-1.2094091209118205,8,-0.5644599851195168,-0.7682395795857584
Avery Brook,West Brook,West Brook,20,5,2020-06-09,1,3.423766769304452,1.643599653506532,1.2307413395180087,0.4968887472133524,3.373766769304451,3.373766769304451,-0.3973995819689762,-1.1315860464172809,-0.5166120430276866,-0.48044220956210065,-0.23783881693969147,-1.2398802359098466,-1.178760415150487,-0.9401391418722412,8,-0.6706510616497761,-0.6344903688165654
Avery Brook,West Brook,West Brook,21,14,2020-06-14,2,4.325119659257221,2.1581173551690425,1.464439806881404,0.7692362468072989,4.185119659257221,4.18511965925722,-1.2049746973207405,-1.8819370796949784,-1.3759142226696552,-1.1539347326598621,-1.033883863773449,-1.9918602150211517,-1.9590396583656644,-1.768351128620925,8,-0.4918966211742168,-1.2579872545516853
Avery Brook,West Brook,West Brook,22,4,2020-06-28,1,1.5582207105942605,1.1883535484425323,0.4435446001844357,0.1725687763655477,1.5182207105942602,1.51822071059426,-0.9642491356008208,-1.2375114832207592,-1.004782331118185,-0.8711581626784362,-0.8306249671610719,-1.2563022896623643,-1.1237386845308623,-1.1049478780892572,8,-0.8835174731658875,-0.722508079245517
Avery Brook,West Brook,West Brook,23,4,2020-07-02,1,2.727834604829244,1.3898336295050127,1.0035081094149372,0.3291840489754726,2.6878346048292436,2.687834604829244,-0.5107364008825412,-1.0974136493716302,-0.9140184490218632,-0.5335774491186448,-0.13029540097932285,-1.3667812084874225,-1.09751680604679,-0.8281492469309979,8,-0.780723522543781,-0.6060951481916317
Avery Brook,West Brook,West Brook,24,2,2020-07-06,2,0.5795580454931204,0.3690663132810874,-0.5454894564331204,-0.9967789402988045,0.5595580454931203,0.5595580454931203,-1.2417031420943547,-1.6912628670706837,-1.2808799264641075,-1.2417031420943547,-1.202526357724602,-1.7171215401633764,-1.6912628670706837,-1.6654041939779909,8,-1.6510152365944273,-1.099548373962784
Avery Brook,West Brook,West Brook,25,6,2020-07-08,1,9.10028801668866,2.444595527307381,2.2083060632075147,0.8938796807378925,9.04028801668866,9.04028801668866,0.10438342183412662,-1.0233732682129126,-0.5143126922397888,0.29278680020884806,0.8019609292797273,-1.3741114181196508,-1.0576257456766216,-0.6729112265655124,8,-0.41008728815506085,-0.5445720143199457
Avery Brook,West Brook,West Brook,26,2,2020-07-14,2,0.8627765470987279,0.4229601621249608,-0.1475995471514542,-0.86047728374463,0.8427765470987278,0.842776547098728,-0.8412504131619818,-1.5545552984764761,-0.8571212988115897,-0.8412504131619818,-0.825379527512374,-1.5761321729623972,-1.5545552984764761,-1.5329784239905546,8,-1.5615540651514754,-0.985952550815082
Avery Brook,West Brook,West Brook,27,4,2020-07-16,1,1.9064349399726566,1.047400405312402,0.6452349743582468,0.04631128983319827,1.8664349399726565,1.8664349399726565,-0.7799737569762126,-1.3796025073879463,-0.9845726545760307,-0.8310481107988369,-0.6264492131990187,-1.612162775820424,-1.4213553129529855,-1.188795044520508,8,-0.966386184626759,-0.8405772323886264
Avery Brook,West Brook,West Brook,28,1,2020-07-20,2,0.33478408248403607,0.17333981880373925,-1.0942694848541585,-1.7525013405993226,0.32478408248403606,0.32478408248403606,-1.0942694848541585,-1.7525013405993226,-1.0942694848541585,-1.0942694848541585,-1.0942694848541585,-1.7525013405993226,-1.7525013405993226,-1.7525013405993226,8,-2.1470313007109505,-1.1504338873277642
Avery Brook,West Brook,West Brook,29,11,2020-07-21,1,3.426838855285496,3.190240745461377,1.2316382196933753,1.1600963827457966,3.3168388552854955,3.316838855285495,-1.233120301221661,-1.4673195185760037,-1.5003477624895716,-1.2993966388510916,-1.0397313404589683,-1.9391008970605927,-1.7149489511298621,-1.094674171361362,8,-0.23535677774603733,-0.9134648288284459
Avery Brook,West Brook,West Brook,30,2,2020-08-01,2,0.3689994033401584,0.18997290789221594,-0.9969602519072576,-1.6608738070295461,0.3489994033401582,0.34899940334015833,-1.6915832192639688,-2.3541067146810435,-1.7187540944967141,-1.6915832192639688,-1.6644123440312235,-2.360653833944192,-2.3541067146810435,-2.347559595417895,8,-2.0868918519558095,-1.6503320157316792
Avery Brook,West Brook,West Brook,31,8,2020-08-03,1,2.634236907813272,0.955567759678927,0.9685935414987291,-0.045449602401298854,2.5542369078132716,2.554236907813271,-1.2055532772703137,-2.192722457676497,-1.4906348955882733,-1.4208649810400131,-1.0422187687692999,-2.416171432278936,-2.270534139414553,-2.0306589058254803,8,-1.0266131629297397,-1.516231338599978
Avery Brook,West Brook,West Brook,32,15,2020-08-11,2,2.275382533185026,0.7320535675138322,0.8221481847228395,-0.31190158803462126,2.1253825331850256,2.125382533185025,-1.8972247441107257,-3.0353184659559904,-2.029177150466161,-1.8711668509130237,-1.8145210889616858,-3.1638391607410554,-2.999769722475673,-2.927789607042059,8,-1.2014981010198595,-2.2163782882219936
Avery Brook,West Brook,West Brook,33,6,2020-08-26,1,1.60751186843328,0.5782100850372438,0.4746875602646091,-0.5478180074260197,1.5475118684332798,1.5475118684332798,-1.439248417284691,-2.4458447320853303,-1.7559056719478419,-1.4034782942073338,-1.1038811045679209,-2.538504829240585,-2.3764435803668245,-2.12107715152745,8,-1.3563411144867772,-1.7265608281386295
Avery Brook,West Brook,West Brook,34,6,2020-09-01,1,1.7325907753862375,0.838558831759955,0.5496178463146514,-0.17607053707946715,1.6725907753862372,1.6725907753862375,-1.4156894534175952,-2.1471598041314564,-1.8178430968030836,-1.6093050908405941,-1.2954514890220103,-2.4776528766891386,-2.351520017244756,-1.9015167988176347,8,-1.1123458101088126,-1.478371495231644
Avery Brook,West Brook,West Brook,35,2,2020-09-07,2,0.296429873635326,0.13442078677622343,-1.2159446023956588,-2.0067801993386887,0.276429873635326,0.27642987363532595,-1.9091542951672082,-2.7011463641350213,-1.9147450694520085,-1.9091542951672082,-1.903563520882408,-2.7258392742956894,-2.7011463641350213,-2.6764534539743527,8,-2.3139264445491996,-1.938701233690873
Avery Brook,West Brook,West Brook,36,5,2020-09-09,1,1.758677509637678,0.6254204784253554,0.5645621116177312,-0.4693310899704131,1.7086775096376778,1.708677509637678,-1.2015919322601192,-2.189159681018653,-1.5697194404048336,-1.3988555597756223,-0.7626042042090693,-2.551185395830824,-2.315492369064286,-1.8116141646330872,8,-1.3048264685460358,-1.5132708840230955
Avery Brook,West Brook,West Brook,37,14,2020-09-14,2,2.35563584813486,0.7394654263710836,0.856810690233163,-0.3018277506340507,2.2156358481348595,2.2156358481348595,-1.8058527154156014,-2.949161065854362,-1.9950904940827061,-1.8314955033556344,-1.628332357861908,-3.046666439625105,-2.9999083497772228,-2.853004048165529,8,-1.1948861689453387,-2.1447866354301737
Avery Brook,West Brook,West Brook,38,8,2020-09-28,1,4.304225491618271,1.865959237072357,1.4595972126623624,0.6237752571020629,4.22422549161827,4.22422549161827,-0.9159954463773434,-1.8744286332114402,-1.3360811315807584,-1.0517871667957568,-0.845909868840806,-2.507479991392967,-2.0733772641859436,-1.5545626935245094,8,-0.5873694926510896,-1.251748184047917
Avery Brook,West Brook,West Brook,39,6,2020-10-06,2,1.556392179613053,0.3999458157844319,0.4423704374517038,-0.9164262015886828,1.496392179613053,1.496392179613053,-1.3555376640009529,-2.710226453020775,-1.449262384818988,-1.3402186284480289,-1.3097316733415107,-2.744126565979025,-2.7249097105470286,-2.661282033697731,8,-1.598275964634077,-1.9462462451473581
Avery Brook,West Brook,West Brook,40,10,2020-10-12,1,8.594335020904662,3.3369474751766393,2.1511032677096513,1.2050564595124977,8.494335020904662,8.494335020904662,-0.37745967058639235,-1.3605690189634456,-0.754844964457538,-0.5314928574366509,-0.23636410581730521,-1.7452435023196384,-1.4646221304874356,-0.9349282160251302,8,-0.20584737017610463,-0.8247615404910453
Avery Brook,West Brook,West Brook,41,5,2020-10-22,2,1.9719564668882505,0.6818017356774076,0.6790261803222963,-0.3830163735534907,1.9219564668882503,1.9219564668882503,-0.9354452530288625,-1.9948611716557096,-1.031884889243157,-0.9105347215427738,-0.849238946415363,-2.032146774184976,-2.0133446034586338,-1.964868107384707,8,-1.2481740709256524,-1.3518204293451221
Avery Brook,West Brook,West Brook,42,11,2020-10-27,1,9.39058251697757,4.101461358990867,2.239707327182881,1.4113433392266905,9.280582516977569,9.280582516977569,-0.251547666837284,-1.0985045250165242,-0.4987885033835282,-0.32957757467288895,-0.04262039932740325,-1.355882655273191,-1.0196405327267584,-0.8365566771493518,8,-0.07045161359402677,-0.6070016006880647
