site_name,basin,subbasin,region,WaterYear,precip_total,sampsize,precip_total_z
Battle Run NWIS,Piney River,Piney River,Shen,1981,872.97,364,-0.8639588909191747
Battle Run NWIS,Piney River,Piney River,Shen,1982,996.79,365,-0.39306031496306987
Battle Run NWIS,Piney River,Piney River,Shen,1983,1029.39,365,-0.2690795882939608
Battle Run NWIS,Piney River,Piney River,Shen,1984,1586.61,366,1.8500780962017647
Battle Run NWIS,Piney River,Piney River,Shen,1985,795.86,364,-1.157215143479143
Battle Run NWIS,Piney River,Piney River,Shen,1986,969.33,365,-0.49749316018803036
Battle Run NWIS,Piney River,Piney River,Shen,1987,1017.22,365,-0.31536319085724485
Battle Run NWIS,Piney River,Piney River,Shen,1988,841.34,366,-0.9842506205064109
Battle Run NWIS,Piney River,Piney River,Shen,1989,1121.8,364,0.0823639378254351
Battle Run NWIS,Piney River,Piney River,Shen,1990,971.3,365,-0.4900010733310324
Battle Run NWIS,Piney River,Piney River,Shen,1991,947.15,365,-0.5818456914003259
Battle Run NWIS,Piney River,Piney River,Shen,1992,1035.94,366,-0.24416935026688544
Battle Run NWIS,Piney River,Piney River,Shen,1993,1169.94,364,0.26544467960000256
Battle Run NWIS,Piney River,Piney River,Shen,1994,1380.99,365,1.068086776640351
Battle Run NWIS,Piney River,Piney River,Shen,1995,950.8100000000001,365,-0.5679263828233644
Battle Run NWIS,Piney River,Piney River,Shen,1996,1572.54,366,1.7965686230657418
Battle Run NWIS,Piney River,Piney River,Shen,1997,989.91,364,-0.4192255726159369
Battle Run NWIS,Piney River,Piney River,Shen,1998,1418.6,365,1.2111209830828404
Battle Run NWIS,Piney River,Piney River,Shen,1999,948.82,365,-0.5754945314758652
Battle Run NWIS,Piney River,Piney River,Shen,2000,1050.9,366,-0.1872751272309999
Battle Run NWIS,Piney River,Piney River,Shen,2001,941.22,364,-0.6043980137668231
Battle Run NWIS,Piney River,Piney River,Shen,2002,789.34,365,-1.1820112888129646
Battle Run NWIS,Piney River,Piney River,Shen,2003,1702.6,365,2.291198479218633
Battle Run NWIS,Piney River,Piney River,Shen,2004,1246.46,366,0.5564571091926462
Battle Run NWIS,Piney River,Piney River,Shen,2005,897.38,364,-0.7711254695083484
Battle Run NWIS,Piney River,Piney River,Shen,2006,1091.24,365,-0.033858485702416175
Battle Run NWIS,Piney River,Piney River,Shen,2007,948.49,365,-0.5767495511016569
Battle Run NWIS,Piney River,Piney River,Shen,2008,1171.32,366,0.270692943489676
Battle Run NWIS,Piney River,Piney River,Shen,2009,954.4399999999999,364,-0.5541211669396573
Battle Run NWIS,Piney River,Piney River,Shen,2010,1273.12,365,0.6578474825975057
Battle Run NWIS,Piney River,Piney River,Shen,2011,1132.41,365,0.12271472033952274
Battle Run NWIS,Piney River,Piney River,Shen,2012,1030.34,366,-0.26546665300759176
Battle Run NWIS,Piney River,Piney River,Shen,2013,1147,364,0.1782018001586112
Battle Run NWIS,Piney River,Piney River,Shen,2014,1344,365,0.9274104858584391
Battle Run NWIS,Piney River,Piney River,Shen,2015,1279.17,365,0.6808561757370188
Battle Run NWIS,Piney River,Piney River,Shen,2016,1260.83,366,0.6111075092612069
Battle Run NWIS,Piney River,Piney River,Shen,2017,1003.68,364,-0.36685702641245155
Battle Run NWIS,Piney River,Piney River,Shen,2018,1656.27,365,2.1150013299370443
Battle Run NWIS,Piney River,Piney River,Shen,2019,1282.32,365,0.6928359085286653
Battle Run NWIS,Piney River,Piney River,Shen,2020,1360.98,366,0.9919869502400791
Battle Run NWIS,Piney River,Piney River,Shen,2021,1250.32,364,0.5711370357246324
Battle Run NWIS,Piney River,Piney River,Shen,2022,1071.01,365,-0.11079499185321583
Battle Run NWIS,Piney River,Piney River,Shen,2023,931.9,365,-0.6398428104709979
Donner Blitzen River nr Frenchglen NWIS,Donner Blitzen,Donner Blitzen,Oreg,1981,346.39,364,-0.490278975894538
Donner Blitzen River nr Frenchglen NWIS,Donner Blitzen,Donner Blitzen,Oreg,1982,444.94,365,0.36032572038512634
Donner Blitzen River nr Frenchglen NWIS,Donner Blitzen,Donner Blitzen,Oreg,1983,615.27,365,1.8304779062533678
Donner Blitzen River nr Frenchglen NWIS,Donner Blitzen,Donner Blitzen,Oreg,1984,565.04,366,1.3969327627310182
Donner Blitzen River nr Frenchglen NWIS,Donner Blitzen,Donner Blitzen,Oreg,1985,311.12,364,-0.7947013770897053
Donner Blitzen River nr Frenchglen NWIS,Donner Blitzen,Donner Blitzen,Oreg,1986,434.48,365,0.27004337514834026
Donner Blitzen River nr Frenchglen NWIS,Donner Blitzen,Donner Blitzen,Oreg,1987,321.42,365,-0.7058000237494664
Donner Blitzen River nr Frenchglen NWIS,Donner Blitzen,Donner Blitzen,Oreg,1988,298.93,366,-0.8999156972079104
Donner Blitzen River nr Frenchglen NWIS,Donner Blitzen,Donner Blitzen,Oreg,1989,495.75,364,0.7988769595324601
Donner Blitzen River nr Frenchglen NWIS,Donner Blitzen,Donner Blitzen,Oreg,1990,250.16,365,-1.3208592896742648
Donner Blitzen River nr Frenchglen NWIS,Donner Blitzen,Donner Blitzen,Oreg,1991,339.19,365,-0.5524236112391709
Donner Blitzen River nr Frenchglen NWIS,Donner Blitzen,Donner Blitzen,Oreg,1992,307.88,366,-0.8226664629947903
Donner Blitzen River nr Frenchglen NWIS,Donner Blitzen,Donner Blitzen,Oreg,1993,509.01,364,0.9133266629588258
Donner Blitzen River nr Frenchglen NWIS,Donner Blitzen,Donner Blitzen,Oreg,1994,293.45,365,-0.9472146696646591
Donner Blitzen River nr Frenchglen NWIS,Donner Blitzen,Donner Blitzen,Oreg,1995,441.97,365,0.33469105830546547
Donner Blitzen River nr Frenchglen NWIS,Donner Blitzen,Donner Blitzen,Oreg,1996,493.34,366,0.7780757690907146
Donner Blitzen River nr Frenchglen NWIS,Donner Blitzen,Donner Blitzen,Oreg,1997,516.83,364,0.9808226419025804
Donner Blitzen River nr Frenchglen NWIS,Donner Blitzen,Donner Blitzen,Oreg,1998,535.5,365,1.141967133830955
Donner Blitzen River nr Frenchglen NWIS,Donner Blitzen,Donner Blitzen,Oreg,1999,433.88,365,0.2648646555362873
Donner Blitzen River nr Frenchglen NWIS,Donner Blitzen,Donner Blitzen,Oreg,2000,310.94,366,-0.7962549929733213
Donner Blitzen River nr Frenchglen NWIS,Donner Blitzen,Donner Blitzen,Oreg,2001,381.04,364,-0.1912079182984914
Donner Blitzen River nr Frenchglen NWIS,Donner Blitzen,Donner Blitzen,Oreg,2002,355.72,365,-0.4097498859271174
Donner Blitzen River nr Frenchglen NWIS,Donner Blitzen,Donner Blitzen,Oreg,2003,450.61,365,0.409264620719025
Donner Blitzen River nr Frenchglen NWIS,Donner Blitzen,Donner Blitzen,Oreg,2004,379.29,366,-0.20631251716697857
Donner Blitzen River nr Frenchglen NWIS,Donner Blitzen,Donner Blitzen,Oreg,2005,489.87,364,0.7481255073343432
Donner Blitzen River nr Frenchglen NWIS,Donner Blitzen,Donner Blitzen,Oreg,2006,635.35,365,2.003792389270067
Donner Blitzen River nr Frenchglen NWIS,Donner Blitzen,Donner Blitzen,Oreg,2007,426.92,365,0.20479150803647556
Donner Blitzen River nr Frenchglen NWIS,Donner Blitzen,Donner Blitzen,Oreg,2008,454.06,366,0.4390422584883282
Donner Blitzen River nr Frenchglen NWIS,Donner Blitzen,Donner Blitzen,Oreg,2009,612.2,364,1.803980124238365
Donner Blitzen River nr Frenchglen NWIS,Donner Blitzen,Donner Blitzen,Oreg,2010,414.25,365,0.09543421222862818
Donner Blitzen River nr Frenchglen NWIS,Donner Blitzen,Donner Blitzen,Oreg,2011,673.21,365,2.3305695967905957
Donner Blitzen River nr Frenchglen NWIS,Donner Blitzen,Donner Blitzen,Oreg,2012,349.48,366,-0.46360856989246607
Donner Blitzen River nr Frenchglen NWIS,Donner Blitzen,Donner Blitzen,Oreg,2013,453.67,364,0.435676090740494
Donner Blitzen River nr Frenchglen NWIS,Donner Blitzen,Donner Blitzen,Oreg,2014,259.51,365,-1.2401575757197763
Donner Blitzen River nr Frenchglen NWIS,Donner Blitzen,Donner Blitzen,Oreg,2015,334.84,365,-0.5899693284265536
Donner Blitzen River nr Frenchglen NWIS,Donner Blitzen,Donner Blitzen,Oreg,2016,357.71,366,-0.3925737992138095
Donner Blitzen River nr Frenchglen NWIS,Donner Blitzen,Donner Blitzen,Oreg,2017,383,364,-0.1742907675657859
Donner Blitzen River nr Frenchglen NWIS,Donner Blitzen,Donner Blitzen,Oreg,2018,310.17,365,-0.8029010164754555
Donner Blitzen River nr Frenchglen NWIS,Donner Blitzen,Donner Blitzen,Oreg,2019,460.6,365,0.49549030225970336
Donner Blitzen River nr Frenchglen NWIS,Donner Blitzen,Donner Blitzen,Oreg,2020,284.96,366,-1.0204935521752054
Donner Blitzen River nr Frenchglen NWIS,Donner Blitzen,Donner Blitzen,Oreg,2021,260.13,364,-1.234806232120655
Donner Blitzen River nr Frenchglen NWIS,Donner Blitzen,Donner Blitzen,Oreg,2022,315.1,365,-0.7603492036630887
Donner Blitzen River nr Frenchglen NWIS,Donner Blitzen,Donner Blitzen,Oreg,2023,439.96,365,0.31734234760508834
North Fork Flathead River NWIS,Flathead,Flathead,Flat,1981,860.77,364,0.8009809415912724
North Fork Flathead River NWIS,Flathead,Flathead,Flat,1982,829.42,365,0.5942328314698219
North Fork Flathead River NWIS,Flathead,Flathead,Flat,1983,777.77,365,0.2536095495631901
North Fork Flathead River NWIS,Flathead,Flathead,Flat,1984,694.12,366,-0.29804848589643723
North Fork Flathead River NWIS,Flathead,Flathead,Flat,1985,683.38,364,-0.36887702505766146
North Fork Flathead River NWIS,Flathead,Flathead,Flat,1986,729.29,365,-0.06610810206959832
North Fork Flathead River NWIS,Flathead,Flathead,Flat,1987,701.83,365,-0.24720229996226215
North Fork Flathead River NWIS,Flathead,Flathead,Flat,1988,568.73,366,-1.1249749780217533
North Fork Flathead River NWIS,Flathead,Flathead,Flat,1989,745.26,364,0.039211429625443724
North Fork Flathead River NWIS,Flathead,Flathead,Flat,1990,849.28,365,0.7252062753936499
North Fork Flathead River NWIS,Flathead,Flathead,Flat,1991,818.96,365,0.525250846402187
North Fork Flathead River NWIS,Flathead,Flathead,Flat,1992,632.05,366,-0.7073899594287637
North Fork Flathead River NWIS,Flathead,Flathead,Flat,1993,845.06,364,0.6973760672688484
North Fork Flathead River NWIS,Flathead,Flathead,Flat,1994,496.25,365,-1.6029686948192883
North Fork Flathead River NWIS,Flathead,Flathead,Flat,1995,858.94,365,0.788912391622461
North Fork Flathead River NWIS,Flathead,Flathead,Flat,1996,1048.7,366,2.0403484801917244
North Fork Flathead River NWIS,Flathead,Flathead,Flat,1997,961.72,364,1.4667296406904884
North Fork Flathead River NWIS,Flathead,Flathead,Flat,1998,707.2,365,-0.21178803038165003
North Fork Flathead River NWIS,Flathead,Flathead,Flat,1999,698.52,365,-0.26903120728290053
North Fork Flathead River NWIS,Flathead,Flathead,Flat,2000,694.28,366,-0.29699331212867247
North Fork Flathead River NWIS,Flathead,Flathead,Flat,2001,476.51,364,-1.7331507584172925
North Fork Flathead River NWIS,Flathead,Flathead,Flat,2002,768.9,365,0.1951133538127191
North Fork Flathead River NWIS,Flathead,Flathead,Flat,2003,516.37,365,-1.4702805935228425
North Fork Flathead River NWIS,Flathead,Flathead,Flat,2004,753.08,366,0.09078304752495735
North Fork Flathead River NWIS,Flathead,Flathead,Flat,2005,804.48,364,0.42975762041945637
North Fork Flathead River NWIS,Flathead,Flathead,Flat,2006,765.31,365,0.17143789239849222
North Fork Flathead River NWIS,Flathead,Flathead,Flat,2007,706.86,365,-0.21403027463815083
North Fork Flathead River NWIS,Flathead,Flathead,Flat,2008,712.4,366,-0.1774948829292887
North Fork Flathead River NWIS,Flathead,Flathead,Flat,2009,647.19,364,-0.607544141654002
North Fork Flathead River NWIS,Flathead,Flathead,Flat,2010,752.04,365,0.08392441803448447
North Fork Flathead River NWIS,Flathead,Flathead,Flat,2011,970.21,365,1.5227197987425176
North Fork Flathead River NWIS,Flathead,Flathead,Flat,2012,858,366,0.7827132457368413
North Fork Flathead River NWIS,Flathead,Flathead,Flat,2013,903.95,364,1.0857459621668462
North Fork Flathead River NWIS,Flathead,Flathead,Flat,2014,833.52,365,0.6212716592687996
North Fork Flathead River NWIS,Flathead,Flathead,Flat,2015,676.41,365,-0.41484303231592345
