site_name,basin,subbasin,region,WaterYear,eventdays,eventid,mindate,maxdate,totalyieldevent_little,totalyieldevent_big,hysteresis,numdays,totalyield_site,propyield
Avery Brook,West Brook,West Brook,Mass,2021,14,1,2020-10-11,2020-10-24,10.014129553643517,9.895601570676263,0.4167161286286951,365,872.0646293378321,0.01148324243037738
Avery Brook,West Brook,West Brook,Mass,2021,16,2,2020-10-25,2020-11-09,11.567265454573752,11.61932868633774,0.303770950715487,365,872.0646293378321,0.013264229582796976
Avery Brook,West Brook,West Brook,Mass,2021,4,3,2020-11-12,2020-11-15,2.0947815940027126,2.2495366419310163,0,365,872.0646293378321,0.0024020944360434644
Avery Brook,West Brook,West Brook,Mass,2021,6,4,2020-11-14,2020-11-19,5.3953958368925,4.573795654835266,-0.32646095003228726,365,872.0646293378321,0.006186921995665942
Avery Brook,West Brook,West Brook,Mass,2021,5,5,2020-11-21,2020-11-25,4.195295652770504,3.4962204102739047,0,365,872.0646293378321,0.004810762312371316
Avery Brook,West Brook,West Brook,Mass,2021,19,6,2020-11-24,2020-12-12,67.49042695412942,44.30250047439318,-0.5234123176844024,365,872.0646293378321,0.07739154264905299
Avery Brook,West Brook,West Brook,Mass,2021,5,7,2020-12-11,2020-12-15,11.92039991240187,7.118289024292201,0.3548055414988702,365,872.0646293378321,0.013669170278644548
Avery Brook,West Brook,West Brook,Mass,2021,10,8,2020-12-14,2020-12-23,19.390392118881863,38.34044182200258,0.5765511842335018,365,872.0646293378321,0.022235040232746504
Avery Brook,West Brook,West Brook,Mass,2021,17,9,2020-12-23,2021-01-08,125.18198416643688,86.39479187052545,0.049848094310348666,365,872.0646293378321,0.14354668215529953
Avery Brook,West Brook,West Brook,Mass,2021,6,10,2021-01-14,2021-01-19,16.800950928968867,11.294876286059228,0,365,872.0646293378321,0.0192657176587084
Avery Brook,West Brook,West Brook,Mass,2021,9,11,2021-01-28,2021-02-05,10.911242918273057,22.88864205601139,-1.6631341048132842,365,872.0646293378321,0.012511965915368083
Avery Brook,West Brook,West Brook,Mass,2021,7,12,2021-02-14,2021-02-20,8.051090422605533,15.259094704007591,-0.09094362224920566,365,872.0646293378321,0.00923221760377876
Avery Brook,West Brook,West Brook,Mass,2021,8,13,2021-03-09,2021-03-16,19.905966525632014,15.495060086028328,-0.13939368846420144,365,872.0646293378321,0.022826251468021155
Avery Brook,West Brook,West Brook,Mass,2021,20,14,2021-03-16,2021-04-04,63.17157885743176,51.82586340448764,0.06860909222658745,365,872.0646293378321,0.07243910225483931
Avery Brook,West Brook,West Brook,Mass,2021,13,15,2021-04-13,2021-04-25,39.237262144117516,42.85524613133266,0.7411723123546893,365,872.0646293378321,0.04499352550729042
Avery Brook,West Brook,West Brook,Mass,2021,23,16,2021-04-27,2021-05-19,84.53961097853156,88.23138909392019,0.29754746478292005,365,872.0646293378321,0.09694191019159139
Avery Brook,West Brook,West Brook,Mass,2021,9,17,2021-05-27,2021-06-04,15.936364684824204,17.98056210998008,0.19150679772223272,365,872.0646293378321,0.018274293152933923
Avery Brook,West Brook,West Brook,Mass,2021,9,18,2021-06-29,2021-07-07,12.646720569242747,17.245136669348785,-0.2942851371742734,365,872.0646293378321,0.014502045082192517
